Daily Performance: Ad Group Level
"January 1, 2025 - January 13, 2025"
Day,Campaign,Ad group,Impr.,Clicks,CTR,Currency code,Cost,Conversions,Conv. rate,Events / session (GA4)
2025-01-11,TS / Search / San Francisco,In-Home Care Services,274,13,4.74%,USD,149.96,0.00,0.00%,3.50
2025-01-11,TS / Search / San Francisco,Old Keywords,207,14,6.76%,USD,151.61,0.00,0.00%,5.00
2025-01-11,TS / Search / San Francisco,Personal Care Services,11,0,0.00%,USD,0.00,0.00,0, --
2025-01-11,TS / Search / San Francisco,Respite Care Services,16,2,12.50%,USD,11.23,0.00,0.00%,4.00
2025-01-11,TS / Search / San Francisco,Senior Care Services,78,3,3.85%,USD,26.46,0.00,0.00%,5.00
2025-01-12,TS / Search / San Francisco,Brand,1,0,0.00%,USD,0.00,0.00,0, --
2025-01-12,TS / Search / San Francisco,Companion Care Services,16,1,6.25%,USD,4.21,0.00,0.00%,9.00
2025-01-12,TS / Search / San Francisco,In-Home Care Services,220,11,5.00%,USD,97.04,0.00,0.00%,5.36
2025-01-12,TS / Search / San Francisco,Old Keywords,249,20,8.03%,USD,159.40,1.00,5.00%,5.53
2025-01-12,TS / Search / San Francisco,Personal Care Services,8,1,12.50%,USD,8.51,0.00,0.00%,3.00
2025-01-12,TS / Search / San Francisco,Respite Care Services,19,3,15.79%,USD,10.08,0.00,0.00%,5.00
2025-01-12,TS / Search / San Francisco,Senior Care Services,54,2,3.70%,USD,6.38,0.00,0.00%,4.00
2025-01-13,TS / Search / San Francisco,Brand,1,1,100.00%,USD,1.80,0.00,0.00%, --
2025-01-13,TS / Search / San Francisco,Companion Care Services,11,1,9.09%,USD,4.00,0.00,0.00%,4.00
2025-01-13,TS / Search / San Francisco,In-Home Care Services,168,10,5.95%,USD,71.61,0.00,0.00%,4.50
2025-01-13,TS / Search / San Francisco,Old Keywords,154,9,5.84%,USD,101.21,0.00,0.00%,5.11
2025-01-13,TS / Search / San Francisco,Personal Care Services,11,0,0.00%,USD,0.00,0.00,0, --
2025-01-13,TS / Search / San Francisco,Respite Care Services,3,0,0.00%,USD,0.00,0.00,0, --
2025-01-13,TS / Search / San Francisco,Senior Care Services,50,2,4.00%,USD,10.63,0.00,0.00%,4.00
